AList,TimeListExp,TimeListImp,SpeedUpList,GFLOPexp,GFLOPimp
10,0.053153,0.517451,0.102720837,0.06556168,0.220403478
50,0.122817,0.515461,0.238266329,0.709348054,1.106271861
100,0.193577,0.860187,0.225040602,1.800213868,1.325851239
200,0.379927,0.773414,0.491233673,3.668915344,2.949209608
300,0.67118,0.898905,0.746663997,4.67284484,3.806230914
400,1.162831,1.180868,0.984725642,4.794918608,3.86319216
500,1.963122,1.456356,1.347968491,4.437829131,3.915526149
600,2.716057,1.711378,1.587058499,4.618931046,3.998462058
700,3.482755,1.836932,1.895962943,4.902877176,4.34602914
800,4.443206,1.895564,2.344002102,5.019510687,4.813258745
900,5.672032,2.119562,2.676039672,4.976502248,4.842660889
1000,7.211601,2.447474,2.946548564,4.832214095,4.659824783
1100,8.535344,2.642789,3.229672895,4.940173472,4.746985098
1200,9.881537,2.652176,3.725822494,5.078270718,5.16020053
1300,11.760522,2.712031,4.336426095,5.007696087,5.466840165
1400,13.982001,2.904647,4.81366617,4.885000366,5.496957117
1500,15.725527,3.59883,4.369622072,4.986033218,4.753544902
1600,20.609728,3.800221,5.423297224,4.328581144,4.801741793
1700,21.25085,4.274147,4.971951128,4.739138434,4.536147213
1800,23.658176,4.103019,5.766041054,4.772452449,5.003301228
1900,25.455515,4.356235,5.843466893,4.942004905,4.974277099
2000,29.246447,4.591202,6.370106782,4.766117402,4.968110747
2100,37.786737,4.561942,8.283037575,4.06702701,5.249974682
2200,40.916937,4.681547,8.740046186,4.122115006,5.35945917
2300,51.572402,5.046479,10.21948214,3.574507156,5.197889459
2400,49.866968,5.174782,9.636535027,4.025199206,5.289405428
2500,53.557589,5.2809,10.14175406,4.066650573,5.399079702
