AList,TimeListExp,TimeListImp,SpeedUpList
10,0.007313,0.06487,0.112732
50,0.022878,0.096018,0.238266
100,0.046392,0.169791,0.273228
200,0.079885,0.22563,0.354053
300,0.132844,0.269866,0.492259
400,0.407517,0.348683,1.16873
500,0.610822,0.403568,1.513555
600,0.967651,0.454834,2.127481
700,1.398782,0.518164,2.699496
800,2.17391,0.587633,3.699438
900,2.921084,0.64015,4.563126
1000,3.517938,0.706462,4.979653
1100,3.547041,0.76806,4.618182
1200,4.208619,0.852457,4.937046
1300,4.867407,0.921095,5.28437
1400,6.490425,0.950242,6.830287
1500,7.429908,1.031562,7.202583
1600,8.488011,1.169576,7.257342
1700,9.666685,1.203805,8.030106
1800,10.845328,1.323934,8.191746
1900,12.306119,1.369333,8.986943
2000,13.378118,1.502454,8.904179
2100,14.727917,1.568688,9.388686
2200,16.039762,1.632304,9.826456
2300,17.565797,1.938263,9.06265
2400,19.039268,1.899333,10.024188
2500,21.17423,2.08385,10.161112
