AList,TimeListExp,TimeListImp,SpeedUpList
10,0.028399,0.282109,0.100668
50,0.06885,0.297351,0.231545
100,0.114097,0.501181,0.227656
200,0.217904,0.488566,0.446008
300,0.380479,0.571805,0.665399
400,0.754961,0.748132,1.009128
500,1.23288,0.908906,1.356444
600,1.771918,1.057975,1.67482
700,2.35741,1.151173,2.047833
800,3.217786,1.21544,2.647426
900,4.18652,1.350268,3.100511
1000,5.217023,1.542148,3.382959
1100,5.84166,1.66793,3.502342
1200,6.818161,1.716322,3.972542
1300,8.03824,1.780744,4.513978
1400,9.93655,1.888356,5.26201
1500,11.245893,2.26385,4.967595
1600,14.064001,2.432286,5.782216
1700,14.995401,2.677569,5.600378
1800,16.739238,2.657895,6.297932
1900,18.354841,2.803046,6.548177
2000,20.67755,2.985053,6.927029
2100,25.334974,3.00545,8.429678
2200,27.483262,3.095941,8.877193
2300,33.208835,3.430207,9.681293
2400,33.22001,3.471548,9.56922
2500,36.070575,3.618434,9.96856
