,Base,Pair1,Pair2
0,0,61,122
1,1,62,123
2,2,63,124
3,3,64,125
4,4,65,126
5,5,66,127
6,6,67,128
7,7,68,129
8,8,69,130
9,9,70,131
10,10,71,132
11,11,72,133
12,12,73,134
13,13,74,135
14,14,75,136
15,15,76,137
16,16,77,138
17,17,78,139
18,18,79,140
19,19,80,141
20,20,81,142
21,21,82,143
22,22,83,144
23,23,84,145
24,24,85,146
25,25,86,147
26,26,87,148
27,27,88,149
28,28,89,150
29,29,90,151
30,30,91,152
31,31,92,153
32,32,93,154
33,33,94,155
34,34,95,156
35,35,96,157
36,36,97,158
37,37,98,159
38,38,99,160
39,39,100,161
40,40,101,162
41,41,102,163
42,42,103,164
43,43,104,165
44,44,105,166
45,45,106,167
46,46,107,168
47,47,108,169
48,48,109,170
49,49,110,171
50,50,111,172
51,51,112,173
52,52,113,174
53,53,114,175
54,54,115,176
55,55,116,177
56,56,117,178
57,57,118,179
58,58,119,180
59,59,120,181
60,60,121,182
